,Store Number,City,Mean Retail Price per Liter,Total Sales 2015,Mean Sales 2015,Zip Code,County,Total Gross Profit 2015,Mean Gross Profit 2015,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date,Total Sales Q1 2015,Total Sales Q1 2016,Mean Sales Q1 2015,Mean Sales Q1 2016,Total Gross Profit Q1 2015,Mean Gross Profit Q1 2015,Mean Gross Profit Q1 2016,totalvolQ12015,totalvolQ12016,meanvolQ12015,meanvolQ12016,Category Most Sold,numberdaysopen,Dominant Vendor,sales2015zip,profit2015zip,sales2015county,profit2015county,sales2015city,profit2015city
690,4818,DECORAH,15.7143299482,104634.38,125.011206691,52101,Winneshiek,3651.7,4.36284348865,7913.27,9.45432497013,2015-01-07,2016-03-30,10706.06,20733.69,93.9128070175,88.9857939914,877.97,4.25412280702,3.76811158798,660.31,1098.22,5.79219298246,4.71339055794,VODKA 80 PROOF,448,260,1171674.56,47160.31,1283171.29,54069.75,1171674.56,47160.31
691,4819,ALTOONA,19.768321841,133196.11,40.5714620774,50009,Polk,12495.09,3.8059975632,9256.14,2.81941516905,2015-01-05,2016-03-28,8064.88,16227.77,99.5664197531,49.9316,1548.55,4.07444444444,4.76476923077,501.95,1493.14,6.19691358025,4.59427692308,VODKA 80 PROOF,448,260,2155725.15,74901.38,56674297.4,1759117.6,2155725.15,74901.38
692,4820,INWOOD,15.4859751968,73504.92,49.3321610738,51240,Lyon,6877.55,4.61580536913,5926.53,3.97753691275,2015-01-06,2016-03-29,33793.59,10970.76,145.036866953,66.8948780488,649.38,5.34849785408,3.95963414634,2148.1,1043.37,9.21931330472,6.36201219512,CANADIAN WHISKIES,448,260,73504.92,6877.55,573417.01,38616.65,73504.92,6877.55
693,4824,CRESTON,18.6539235026,42873.61,120.431488764,50801,Union,1447.28,4.06539325843,2771.91,7.78626404494,2015-01-06,2016-03-29,4318.62,23247.95,52.666097561,124.988978495,827.66,4.55182926829,4.44978494624,322.27,1921.0,3.93012195122,10.3279569892,CANADIAN WHISKIES,448,260,917071.31,43609.18,917071.31,43609.18,917071.31,43609.18
694,4829,DES MOINES,21.7205970432,8723890.71,480.284668025,50314,Polk,114398.71,6.29810118917,501726.42,27.6220226822,2015-01-05,2016-03-31,2415.78,26521.52,127.146315789,113.33982906,987.08,3.31210526316,4.21829059829,205.65,1970.85,10.8236842105,8.42243589744,IMPORTED VODKA - MISC,451,260,10289008.9,204986.79,56674297.4,1759117.6,31942201.98,805300.56
695,4837,IOWA CITY,16.875637219,92133.36,114.879501247,52240,Johnson,3218.63,4.01325436409,6388.18,7.9653117207,2015-01-07,2016-03-30,3380.09,10927.88,35.9584042553,64.6620118343,549.97,4.03244680851,3.25426035503,200.22,802.09,2.13,4.74609467456,VODKA 80 PROOF,448,260,8113980.68,220974.62,13020933.64,397720.78,9553555.84,296367.59
696,4839,Northwood,14.9069388291,129200.74,112.056149176,50459,Worth,5804.65,5.0343885516,11465.9,9.94440589766,2015-01-08,2016-03-31,20022.82,12781.16,127.53388535,61.7447342995,1081.29,5.44656050955,5.22362318841,1197.45,1047.55,7.62707006369,5.06062801932,VODKA 80 PROOF,448,434,233445.57,13544.33,233445.57,13544.33,129200.74,5804.65
697,4840,WATERLOO,22.7007660814,73576.35,77.5304004215,50707,Black Hawk,3898.22,4.10771338251,4110.98,4.33190727081,2015-01-08,2016-03-31,5906.51,7412.27,128.402391304,53.7121014493,525.5,3.86217391304,3.80797101449,357.4,588.45,7.76956521739,4.26413043478,AMERICAN GRAPE BRANDIES,448,260,374403.57,15658.93,14795417.3,516859.32,9392561.98,278135.55
698,4841,DAVENPORT,18.450143818,45272.01,91.8296348884,52804,Scott,1750.97,3.551663286,2934.93,5.95320486815,2015-01-07,2016-03-30,37180.4,7631.62,66.6315412186,50.2080263158,603.82,4.56012544803,3.9725,3342.31,409.35,5.98980286738,2.69309210526,VODKA 80 PROOF,448,300,3066618.35,84306.76,18119679.48,576046.2,12617653.19,380143.64
699,4844,IOWA CITY,19.7598410438,23965.34,46.7160623782,52240,Johnson,2129.74,4.15153996101,1549.43,3.02033138402,2015-01-07,2016-03-30,13807.5,5946.18,552.3,138.283255814,143.39,10.0136,3.33465116279,368.1,438.6,14.724,10.2,CANADIAN WHISKIES,448,260,8113980.68,220974.62,13020933.64,397720.78,9553555.84,296367.59
