,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
271,3695,REMSEN,15.8883269855,103290.95,96.7143726592,51050,Plymouth,5043.11,4.72201310861,7911.02,7.40732209738,2015-01-06,2016-03-29
272,3696,DES MOINES,14.9915929487,152180.28,146.327192308,50315,Polk,5572.95,5.35860576923,10618.5,10.2100961538,2015-01-05,2016-03-28
273,3698,WEST DES MOINES,29.5567022378,146629.82,102.538335664,50266,Polk,10504.72,7.34595804196,6266.04,4.38184615385,2015-01-07,2016-03-30
274,3700,AVOCA,16.6010683458,328844.49,92.1907737595,51521,Pottawattamie,18206.44,5.10413232408,22862.42,6.40942528736,2015-01-06,2016-03-29
275,3704,EMMETSBURG,16.7009385411,256242.24,49.7171594878,50536,Palo Alto,28534.49,5.53637757082,18815.86,3.65072953046,2015-01-06,2016-03-29
276,3705,ROCK RAPIDS,17.1311816058,289948.21,90.13,51246,Lyon,16431.33,5.10765620143,21163.52,6.578650917,2015-01-06,2016-03-29
277,3707,CEDAR RAPIDS,19.2931002282,282145.15,141.355285571,52402,Linn,11763.38,5.89347695391,16046.85,8.03950400802,2015-01-05,2016-03-28
278,3710,COLUMBUS JUNCTION,20.5965195541,43492.54,226.523645833,52738,Louisa,370.74,1.9309375,2558.78,13.3269791667,2015-01-05,2016-03-21
279,3712,MONTEZUMA,17.0360206909,132194.54,87.8953058511,50171,Poweshiek,8863.28,5.89313829787,8856.35,5.88853058511,2015-01-08,2016-03-28
280,3713,MASON CITY,13.8822586873,394322.11,190.309898649,50401,Cerro Gordo,10634.98,5.13271235521,33481.25,16.1589044402,2015-01-08,2016-03-31
281,3715,DAVENPORT,23.8202066685,158734.41,86.6454203057,52807,Scott,7529.02,4.10972707424,8064.03,4.40176310044,2015-01-07,2016-03-30
282,3717,SUMNER,15.4781533132,94636.13,37.0250899844,50674,Bremer,13145.79,5.14311032864,7547.98,2.95304381847,2015-01-07,2016-03-30
283,3719,MARSHALLTOWN,14.4286616791,264772.83,165.070342893,50158,Marshall,8599.26,5.36113466334,20577.75,12.829021197,2015-01-06,2016-03-29
284,3721,DECORAH,14.5559437249,474061.6,155.226457105,52101,Winneshiek,15958.25,5.22536018337,35703.45,11.6907170923,2015-01-07,2016-03-30
285,3722,SIOUX CITY,15.2106516614,383951.4,165.282565648,51106,Woodbury,12575.25,5.41336633663,27550.75,11.8599870857,2015-01-07,2016-03-30
286,3723,ONAWA,16.9604293981,272391.34,42.3033607703,51040,Monona,29944.13,4.65043174406,19771.66,3.07061034322,2015-01-07,2016-03-30
287,3726,OTTUMWA,14.0594583862,233540.46,159.631209843,52501,Wapello,7418.77,5.07092959672,17832.0,12.1886534518,2015-01-07,2016-03-30
288,3728,COUNCIL BLUFFS,18.5325107826,314916.72,90.5193216442,51503,Pottawattamie,18070.8,5.19425122162,20786.9,5.97496407014,2015-01-06,2016-03-29
289,3731,DAVENPORT,14.8273660182,467670.96,151.989262268,52807,Scott,15386.42,5.00046148846,33955.75,11.0353428664,2015-01-08,2016-03-31
290,3732,ELDRIDGE,16.5434169817,335688.4,94.69348378,52748,Scott,18968.74,5.35084344147,25005.53,7.0537461213,2015-01-08,2016-03-31
291,3735,OSKALOOSA,16.3471013425,274654.74,97.7071291355,52577,Buchanan,13356.85,4.75163642832,20898.06,7.43438633938,2015-01-07,2016-03-30
292,3738,DUBUQUE,13.800022756,106365.83,64.1918105009,52001,Dubuque,6024.81,3.63597465299,10746.59,6.48557030779,2015-01-07,2016-03-29
293,3740,WATERLOO,14.9006485593,203024.06,116.41287844,50702,Black Hawk,7647.88,4.38525229358,13165.36,7.54894495413,2015-01-05,2016-03-28
294,3742,LEMARS,14.0822479186,184159.02,170.35987049,51031,Plymouth,5682.35,5.2565679926,14764.5,13.658186864,2015-01-06,2016-03-29
295,3744,DYERSVILLE,14.5776451758,257084.96,124.556666667,52040,Dubuque,9518.48,4.61166666667,23999.56,11.6276937984,2015-01-07,2016-03-29
297,3749,STORM LAKE,15.2078696479,202895.34,213.125357143,50588,Buena Vista,5375.7,5.64674369748,16235.75,17.0543592437,2015-01-07,2016-03-30
298,3756,MANNING,16.7513431511,98524.64,47.943863747,51455,Carroll,10708.44,5.21091970803,7048.32,3.42983941606,2015-01-08,2016-03-31
299,3757,SIOUX CITY,14.3389362212,548912.59,162.544444773,51108,Woodbury,17121.06,5.06990228013,42336.75,12.5367930115,2015-01-07,2016-03-30
301,3762,WINDSOR HEIGHTS,23.0666540518,333457.2,95.2462724936,50322,Polk,21625.69,6.17700371322,20660.24,5.90123964582,2015-01-07,2016-03-30
302,3763,HAWARDEN,15.1366966643,123747.79,89.0912814975,51023,Sioux,7211.49,5.1918574514,9997.84,7.19786897048,2015-01-06,2016-03-29
304,3769,CEDAR FALLS,14.0362589797,551946.06,175.667110121,50613,Black Hawk,15840.61,5.04156906429,44589.75,14.1915181413,2015-01-08,2016-03-31
306,3773,CEDAR RAPIDS,23.7326075955,2293780.6,245.53421109,52401,Linn,63128.74,6.75751873261,126081.55,13.4962053094,2015-01-05,2016-03-30
307,3774,DUBUQUE,11.3057923302,132710.24,110.407853577,52001,Dubuque,3914.75,3.25686356073,14449.0,12.0207986689,2015-01-07,2016-03-29
308,3776,DAVENPORT,13.9590671666,424637.42,142.879347241,52806,Scott,14676.79,4.93835464334,32571.75,10.959539031,2015-01-07,2016-03-30
309,3778,DES MOINES,23.1927946642,127728.08,54.5613327638,50310,Polk,9962.19,4.25552755233,6419.04,2.74200768902,2015-01-07,2016-03-30
310,3779,FORT DODGE,14.9727452601,74721.94,115.311635802,50501,Webster,2904.38,4.48206790123,7043.82,10.8700925926,2015-01-06,2016-03-29
311,3782,GUTTENBURG,13.4143583535,97431.04,82.5686779661,52052,Clayton,5352.88,4.53633898305,8028.7,6.80398305085,2015-01-05,2016-03-28
312,3783,POCAHONTAS,15.5345990121,179053.57,74.4815183028,50574,Pocahontas,11244.71,4.6775,16067.58,6.68368552413,2015-01-06,2016-03-29
313,3784,INDEPENDENCE,17.9964715765,231940.16,116.49430437,50644,Buchanan,10497.07,5.27226017077,16077.79,8.07523355098,2015-01-05,2016-03-28
314,3785,DES MOINES,20.0636576907,138293.3,71.4694056848,50315,Polk,9507.32,4.91334366925,9712.59,5.01942635659,2015-01-07,2016-03-30
315,3789,OSKALOOSA,14.8306695393,237564.21,183.731020882,52577,Mahaska,6683.62,5.16907965971,17817.75,13.780162413,2015-01-07,2016-03-30
316,3790,MT PLEASANT,14.74127016,271283.94,181.582289157,52641,Henry,7952.53,5.32297858099,21070.5,14.1034136546,2015-01-05,2016-03-28
317,3803,STRAWBERRY POINT,12.0457799672,46431.17,123.159602122,52076,Clayton,1692.75,4.4900530504,4122.5,10.9350132626,2015-01-05,2016-03-28
318,3805,DAVENPORT,25.6784783011,345952.9,124.39874146,52084,Scott,12383.19,4.45278317152,16192.2,5.82243797195,2015-01-05,2016-03-28
