,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
873,4718,WEST DES MOINES,16.4019601329,10870.53,126.401511628,50266,Polk,396.83,4.61430232558,767.98,8.93,2015-01-05,2016-03-21
879,4724,NEWTON,18.2855936073,11735.76,160.763835616,50208,Jasper,368.14,5.04301369863,723.3,9.90821917808,2015-01-06,2016-03-29
881,4726,ANKENY,14.2738620448,15549.06,114.331323529,50021,Polk,609.26,4.47985294118,1186.1,8.72132352941,2015-01-07,2016-03-30
884,4730,JOHNSTON,18.7422321429,10744.02,134.30025,50131,Polk,374.55,4.681875,659.1,8.23875,2015-01-06,2016-03-29
885,4731,CLIVE,19.1634894867,12675.84,164.621298701,50325,Polk,386.75,5.02272727273,711.3,9.23766233766,2015-01-06,2016-03-29
886,4732,CLIVE,18.5671641791,11145.78,166.354925373,50325,Polk,365.58,5.45641791045,634.5,9.47014925373,2015-01-08,2016-03-24
887,4733,URBANDALE,16.422052005,23308.49,153.345328947,50322,Polk,709.86,4.67013157895,1551.35,10.20625,2015-01-08,2016-03-23
888,4734,URBANDALE,14.1261564626,16400.22,146.430535714,50322,Polk,527.47,4.70955357143,1317.0,11.7589285714,2015-01-07,2016-03-30
890,4736,MARION,18.5228264209,9762.24,157.455483871,52302,Linn,290.52,4.68580645161,697.5,11.25,2015-01-05,2016-03-28
891,4737,STORM LAKE,15.6524089636,2233.07,131.357058824,50588,Buena Vista,83.07,4.88647058824,144.5,8.5,2015-01-07,2016-03-30
894,4740,COUNCIL BLUFFS,18.0066993464,16274.64,159.555294118,51501,Pottawattamie,502.45,4.92598039216,959.1,9.40294117647,2015-01-07,2016-03-30
895,4741,COUNCIL BLUFFS,14.1801801802,9906.0,133.864864865,51503,Pottawattamie,343.68,4.64432432432,780.0,10.5405405405,2015-01-06,2016-03-28
899,4745,CEDAR RAPIDS,15.4112449341,10046.27,106.875212766,52404,Linn,416.26,4.42829787234,860.72,9.15659574468,2015-01-05,2016-03-28
903,4749,DAVENPORT,17.8228214286,6509.84,162.746,52804,Scott,179.59,4.48975,429.1,10.7275,2015-01-08,2016-03-31
908,4754,WAVERLY,18.1889880952,5050.27,109.788478261,50677,Bremer,212.4,4.61739130435,337.62,7.33956521739,2015-01-08,2016-03-31
910,4756,MARSHALLTOWN,19.1791685563,7061.17,112.082063492,50158,Marshall,312.29,4.95698412698,439.0,6.96825396825,2015-01-05,2016-03-28
911,4757,BONDURANT,18.2021006706,28610.44,39.4626758621,50035,Polk,3204.04,4.41936551724,2108.36,2.90808275862,2015-01-07,2016-03-30
919,4767,ANKENY,17.8222094609,10210.26,58.3443428571,50023,Polk,744.08,4.25188571429,799.81,4.57034285714,2015-01-07,2016-03-30
922,4770,HUDSON,15.2577954145,8898.34,164.784074074,50643,Black Hawk,209.1,3.87222222222,664.2,12.3,2015-01-06,2016-03-29
925,4774,ESTHERVILLE,15.4234693878,11342.84,101.275357143,51334,Emmet,386.77,3.45330357143,969.25,8.65401785714,2015-01-07,2016-03-22
926,4775,DAKOTA CITY,16.3399078341,4738.7,76.4306451613,50529,Humboldt,192.48,3.10451612903,429.95,6.93467741935,2015-01-07,2016-03-29
927,4777,PAULLINA,14.5378058292,7105.67,122.511551724,51046,O'Brien,253.72,4.37448275862,692.97,11.9477586207,2015-01-08,2016-03-24
932,4783,EMMETSBURG,14.8265359477,8393.58,164.58,50536,Palo Alto,199.4,3.90980392157,684.0,13.4117647059,2015-01-05,2016-03-28
933,4785,AVOCA,16.2938151927,13694.86,163.034047619,51521,Pottawattamie,338.52,4.03,958.35,11.4089285714,2015-01-05,2016-03-21
939,4791,SIOUX CITY,10.7620952381,1344.0,134.4,51106,Woodbury,45.59,4.559,130.5,13.05,2015-01-06,2016-03-31
945,4797,DES MOINES,13.3081654957,12354.3,202.529508197,50316,Polk,270.69,4.43754098361,1156.5,18.9590163934,2015-01-06,2016-03-29
947,4799,DES MOINES,15.7875039246,10863.9,119.383516484,50317,Polk,469.08,5.15472527473,792.75,8.71153846154,2015-01-06,2016-03-29
948,4800,DES MOINES,15.6016417497,12586.86,146.358837209,50320,Polk,376.1,4.37325581395,994.2,11.5604651163,2015-01-08,2016-03-31
950,4802,DES MOINES,14.7958741873,40963.37,151.156346863,50310,Polk,1394.69,5.14645756458,3047.5,11.2453874539,2015-01-05,2016-03-21
954,4806,WEST LIBERTY,20.9970624196,22424.52,151.517027027,52776,Muscatine,933.21,6.30547297297,1260.1,8.51418918919,2015-01-05,2016-03-28
957,4810,ANKENY,17.1924158697,17037.82,89.2032460733,50021,Polk,812.39,4.25335078534,1112.44,5.82429319372,2015-01-06,2016-03-29
958,4813,GRAND MOUND,17.8813520408,8417.28,75.1542857143,52751,Clinton,455.47,4.06669642857,643.8,5.74821428571,2015-01-06,2016-03-29
959,4817,KNOXVILLE,17.1973461092,6888.53,84.0064634146,50138,Marion,280.21,3.41719512195,565.2,6.89268292683,2015-01-07,2016-03-30
961,4819,ALTOONA,19.9973566702,33149.61,37.1216237402,50009,Polk,3408.32,3.81670772676,2316.4,2.59395296753,2015-01-05,2016-03-28
