,Store Number,City,retailpriceperliter mean,Sale (Dollars) sum,Sale (Dollars) mean,Zip Code,County,grossprofit sum,grossprofit mean,Volume Sold (Liters) sum,Volume Sold (Liters) mean,First Date,Last Date
784,4548,WALKER,15.210401979,24902.94,161.707402597,52352,Linn,638.09,4.14344155844,2001.0,12.9935064935,2015-02-17,2016-03-22
785,4549,COLO,14.263494957,43925.28,152.518333333,50056,Story,1128.88,3.91972222222,3558.6,12.35625,2015-01-16,2016-03-21
786,4551,URBANA,14.996574452,37323.76,118.488126984,52345,Benton,1162.01,3.68892063492,3057.74,9.70711111111,2015-01-13,2016-03-22
787,4552,BUFFALO,14.8452892985,35783.6,128.256630824,52728,Scott,973.76,3.49017921147,2860.65,10.2532258065,2015-01-12,2016-03-28
791,4556,GOLDFIELD,14.9069515306,21089.24,188.296785714,50542,Wright,429.5,3.83482142857,1906.2,17.0196428571,2015-01-27,2016-03-29
795,4560,HARLAN,17.5689702712,33181.16,125.686212121,51537,Shelby,1102.11,4.17465909091,2249.58,8.52113636364,2015-01-26,2016-03-21
797,4562,MECHANICSVILLE,14.4592857143,29389.32,134.813394495,52306,Cedar,757.71,3.47573394495,2182.8,10.0128440367,2015-01-12,2016-03-28
798,4563,IRETON,18.3524442988,17323.4,79.4651376147,51027,Sioux,1142.64,5.24146788991,1101.65,5.05344036697,2015-01-20,2016-03-29
800,4566,CEDAR RAPIDS,17.9745232183,108785.56,66.8215970516,52404,Linn,6146.46,3.77546683047,7428.29,4.56283169533,2015-01-13,2016-03-29
802,4568,SIOUX CITY,18.3433154888,132672.96,102.450162162,51108,Woodbury,5757.34,4.44582239382,8715.93,6.73044787645,2015-01-28,2016-03-30
803,4569,SUTHERLAND,13.3117251701,44122.62,126.064628571,51058,O'Brien,1559.12,4.45462857143,3685.1,10.5288571429,2015-01-13,2016-03-29
806,4573,HAMBURG,15.3371002926,24029.55,134.243296089,51640,Fremont,677.51,3.78497206704,1720.9,9.61396648045,2015-01-27,2016-03-22
807,4575,SLATER,16.5210678718,47222.55,82.9921792619,50244,Story,2222.75,3.90641476274,3441.51,6.04834797891,2015-01-14,2016-03-30
809,4577,WOODWARD,15.7384727062,28996.14,88.4028658537,50276,Dallas,1208.42,3.68420731707,2262.03,6.89643292683,2015-01-15,2016-03-24
810,4578,FARMINGTON,16.5111433641,27803.34,93.2997986577,52626,Van Buren,1102.28,3.6989261745,2193.27,7.35996644295,2015-01-12,2016-03-21
819,4590,CEDAR FALLS,14.6764735336,28527.07,122.433776824,50613,Black Hawk,831.02,3.56660944206,2175.7,9.33776824034,2015-01-21,2016-03-30
820,4591,CLARION,16.4426116534,19907.01,123.646024845,50525,Wright,698.18,4.33652173913,1358.6,8.43850931677,2015-01-27,2016-03-22
823,4595,DES MOINES,19.1265449163,54854.52,75.0403830369,50321,Polk,2272.24,3.1083994528,3451.25,4.72127222982,2015-01-15,2016-03-31
830,4602,PACIFIC JUNCTION,18.8585177708,99738.42,102.61154321,51561,Mills,6048.69,6.22293209877,6799.25,6.99511316872,2015-01-13,2016-03-29
834,4607,GUTTENBERG,15.8637814023,16908.92,133.141102362,52052,Clayton,548.18,4.31637795276,1293.15,10.1822834646,2015-01-16,2016-03-28
836,4609,ANKENY,15.7174539812,44433.12,77.2749913043,50023,Polk,2318.23,4.03170434783,3462.51,6.02175652174,2015-01-15,2016-03-29
837,4610,FONDA,14.3748875661,17567.52,243.993333333,50540,Pocahontas,317.92,4.41555555556,1391.1,19.3208333333,2015-01-21,2016-03-23
843,4620,FONTANELLE,16.6858367347,60384.85,132.713956044,50846,Adair,2790.13,6.13215384615,4992.25,10.971978022,2015-01-13,2016-03-29
856,4634,CEDAR RAPIDS,17.4505794731,43502.81,58.708245614,52402,Linn,2570.45,3.46889338731,3236.87,4.36824561404,2015-01-20,2016-03-29
858,4636,CEDAR RAPIDS,21.2565022681,38691.91,76.015540275,52402,Linn,1756.08,3.4500589391,2157.98,4.23964636542,2015-01-12,2016-03-28
869,4650,SWEA CITY,13.7019696289,43086.17,117.081983696,50590,Kossuth,1732.43,4.70769021739,3835.37,10.422201087,2015-01-14,2016-03-30
871,4652,DAVENPORT,24.3384783522,259888.11,169.750561724,52803,Scott,6584.1,4.30052253429,12021.58,7.8521097322,2015-01-14,2016-03-23
876,4657,WELLSBURG,11.6383923111,16442.46,150.848256881,50680,Grundy,406.51,3.72944954128,1710.0,15.6880733945,2015-01-12,2016-03-21
878,4659,CONRAD,16.7450157233,14543.73,68.6025,50621,Grundy,828.06,3.90594339623,1142.76,5.39037735849,2015-01-12,2016-03-21
880,4661,GRIMES,18.273878732,45974.12,91.2184920635,50111,Polk,1784.14,3.53996031746,3087.11,6.12521825397,2015-01-13,2016-03-29
883,4664,BOONE,15.5488116936,24687.38,152.391234568,50036,Boone,565.37,3.4899382716,2027.28,12.5140740741,2015-01-13,2016-03-30
892,4675,AMES,17.8291135903,46296.51,80.9379545455,50010,Story,2242.12,3.91979020979,3353.09,5.86204545455,2015-01-13,2016-03-22
893,4676,SIOUX CITY,21.065099765,56672.51,55.6704420432,51101,Woodbury,4076.6,4.00451866405,3752.0,3.68565815324,2015-01-14,2016-03-30
902,4687,CEDAR RAPIDS,17.2726692405,32798.12,88.4046361186,52402,Linn,1411.55,3.80471698113,2462.25,6.63679245283,2015-01-13,2016-03-29
905,4690,BALDWIN,14.5104466899,29309.98,118.66388664,52207,Jackson,1080.04,4.37263157895,2546.67,10.3104048583,2015-01-26,2016-03-28
907,4692,KEOKUK,16.192688172,19489.92,157.176774194,52632,Lee,647.15,5.2189516129,1317.0,10.6209677419,2015-01-12,2016-03-28
909,4695,ALTOONA,14.9406413994,27528.07,140.449336735,50009,Polk,978.93,4.99454081633,1962.5,10.012755102,2015-01-14,2016-03-30
912,4698,FAIRFIELD,16.5176247849,38487.33,115.925692771,52556,Jefferson,1395.68,4.20385542169,2853.2,8.59397590361,2015-01-12,2016-03-28
913,4699,BETTENDORF,18.4592287947,33415.16,138.652116183,52722,Scott,1259.77,5.22726141079,2012.28,8.34970954357,2015-01-12,2016-03-21
914,4700,ALLISON,13.2142612245,40632.57,77.3953714286,50602,Butler,2227.82,4.24346666667,3819.35,7.27495238095,2015-01-13,2016-03-22
915,4701,BOONE,13.5112873285,19707.77,167.015,50036,Boone,538.48,4.56338983051,1989.0,16.8559322034,2015-01-14,2016-03-30
917,4703,SIOUX CITY,23.0836986301,40893.6,140.046575342,51101,Woodbury,1453.44,4.97753424658,2330.4,7.98082191781,2015-01-28,2016-03-30
918,4704,COUNCIL BLUFFS,15.4080957052,61708.57,86.7912376934,51501,Pottawattamie,2841.15,3.99599156118,5431.77,7.63962025316,2015-01-13,2016-03-29
920,4706,CLINTON,15.998576902,13566.66,155.93862069,52732,Clinton,455.33,5.23367816092,895.5,10.2931034483,2015-02-12,2016-03-31
